arm_a,arm_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_significant
lora_linear,frozen_linear,0.010560810565948486,-0.0005266144871711731,0.02242366075515747,0.97,False,0.011475980281829834,-0.002480188012123108,0.02542858719825743,0.958,False
lora_linear,frozen_attention,-0.08433288335800171,-0.09708503633737564,-0.07155859768390656,0.0,True,-0.10631543397903442,-0.12315668761730195,-0.08933094739913941,0.0,True
frozen_linear,frozen_attention,-0.0948936939239502,-0.1071137547492981,-0.08293602168560028,0.0,True,-0.11779141426086426,-0.1335908442735672,-0.10145880281925201,0.0,True
