head,full_causal_mean_abs_difference,full_causal_correlation,causal_step_roc_auc,full_step_roc_auc,causal_minus_full_roc_auc
linear,1.4156265137899027e-07,0.9999998807907104,0.788546085357666,0.788546085357666,0.0
mlp,5.959115583209496e-07,1.0,0.8506872653961182,0.8506872653961182,0.0
cnn,2.1836819648742676,0.6790089011192322,0.7736741304397583,0.8627153038978577,-0.08904117345809937
gru,1.2052537202835083,0.9259510636329651,0.8451377153396606,0.8681696653366089,-0.023031949996948242
attention,1.0525233745574951,0.9119881391525269,0.8500427007675171,0.8834397792816162,-0.03339707851409912
attention_pe,1.3338584899902344,0.8616049885749817,0.8307921290397644,0.8781552910804749,-0.04736316204071045
