head,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high
linear,0.788546085357666,0.773868840932846,0.8029378458857536,0.746597170829773,0.7273463949561119,0.7666406661272049
mlp,0.8506872653961182,0.8379287630319595,0.8640726432204247,0.8204752206802368,0.8052979290485383,0.8375338867306709
cnn,0.8627153038978577,0.8501544237136841,0.8759140580892563,0.8333202004432678,0.8154529616236686,0.8510014459490776
gru,0.8681696653366089,0.8553093343973159,0.8810409277677536,0.83939129114151,0.8215651646256447,0.8570801600813865
attention,0.8834397792816162,0.8710254967212677,0.8958710581064224,0.8643885850906372,0.849476870894432,0.8800413787364959
attention_pe,0.8781552910804749,0.8654765829443931,0.8906432390213013,0.849543035030365,0.8323821008205414,0.8670784905552864
