head,threshold,calibration_accuracy,n_trajectories,n_steps,accuracy,balanced_accuracy,roc_auc,average_precision,ranking_accuracy,first_error_boundary_drop,matched_correct_boundary_drop,position_controlled_boundary_effect,n_error_boundaries
linear,-3.5337066650390625,0.7165012955665588,2223,13807,0.7131165266036987,0.7127146124839783,0.788546085357666,0.746597170829773,0.9475633849193282,0.7906485426115705,0.27019167366031926,0.5204568689512512,879
mlp,-2.940959930419922,0.7666299343109131,2223,13807,0.7651915550231934,0.7594320774078369,0.8506872653961182,0.8204752206802368,0.965591043793217,0.836797811925852,0.13393022865491452,0.7028675832709375,879
cnn,-3.248157501220703,0.7842704653739929,2223,13807,0.77801114320755,0.7753438949584961,0.8627153038978577,0.8333202004432678,0.9518439249259137,0.9392584735512801,0.04201785465252803,0.8972406188987521,879
gru,-3.035458564758301,0.7896361351013184,2223,13807,0.7857608199119568,0.7816735506057739,0.8681696653366089,0.83939129114151,0.9594995060915377,0.6844150992364657,0.048210699533885515,0.6362043997025801,879
attention,-4.160615921020508,0.8097023367881775,2223,13807,0.805316150188446,0.8039225339889526,0.8834397792816162,0.8643885850906372,0.9769509384260784,0.7828563708892522,0.07850140344591948,0.7043549674433327,879
attention_pe,-3.9406280517578125,0.7992649674415588,2223,13807,0.7980009913444519,0.7977467179298401,0.8781552910804749,0.849543035030365,0.9660849522555153,0.7683874019532887,0.0449394698819739,0.7234479320713147,879
