arm_a,arm_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_prob_a_worse,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_prob_a_worse,average_precision_significant,roc_auc_p_value,roc_auc_p_holm,roc_auc_significant_holm,average_precision_p_value,average_precision_p_holm,average_precision_significant_holm
attention_s42,attention_s43,0.0023546814918518066,-0.006225608289241791,0.010901756584644314,0.7,0.3,False,0.006650447845458984,-0.0033002272248268127,0.01666190922260284,0.911,0.089,False,0.6006996501749126,,,0.17891054472763618,,
attention_s42,attention_s44,-0.004521787166595459,-0.01166890412569046,0.0024781987071037215,0.101,0.899,False,-0.0032640695571899414,-0.011929185688495636,0.005219288170337668,0.222,0.778,False,0.2028985507246377,,,0.4447776111944028,,
attention_s42,cnn_s42,0.020621836185455322,0.011644785106182099,0.02991581857204437,1.0,0.0,True,0.02411782741546631,0.013199302554130554,0.034962968528270716,1.0,0.0,True,0.0009995002498750624,0.008995502248875561,True,0.0009995002498750624,0.008995502248875561,True
attention_s42,cnn_s43,0.024104654788970947,0.015039661526679992,0.03322734534740447,1.0,0.0,True,0.02752971649169922,0.016633887588977814,0.03843477815389633,1.0,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
attention_s42,cnn_s44,0.018703818321228027,0.009540225565433502,0.02800417989492416,1.0,0.0,True,0.022211670875549316,0.011448971927165985,0.03331803679466247,1.0,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
attention_s42,mlp_s42,0.031820476055145264,0.022333307564258574,0.04144461601972577,1.0,0.0,True,0.03797173500061035,0.026097366213798524,0.049998138844966886,1.0,0.0,True,0.0009995002498750624,0.008995502248875561,True,0.0009995002498750624,0.008995502248875561,True
attention_s42,mlp_s43,0.029193997383117676,0.01972849667072296,0.039341025054454797,1.0,0.0,True,0.03420722484588623,0.022870011627674103,0.0458682745695114,1.0,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
attention_s42,mlp_s44,0.0479586124420166,0.03760547190904617,0.05843548923730849,1.0,0.0,True,0.05417758226394653,0.04095832109451294,0.06805173009634018,1.0,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
attention_s43,attention_s44,-0.006876468658447266,-0.015314015746116637,0.0012605279684066723,0.0475,0.9525,False,-0.009914517402648926,-0.019307872653007506,-0.0008722692728042657,0.017,0.983,True,0.095952023988006,,,0.03498250874562719,,
attention_s43,cnn_s42,0.018267154693603516,0.008715547621250153,0.027903631329536424,0.9995,0.0005,True,0.017467379570007324,0.005899421870708466,0.029057416319847103,0.999,0.001,True,0.001999000499750125,,,0.0029985007496251873,,
attention_s43,cnn_s43,0.02174997329711914,0.011931763589382171,0.03152430355548856,1.0,0.0,True,0.020879268646240234,0.00921514481306076,0.032626509666442864,1.0,0.0,True,0.0009995002498750624,0.008995502248875561,True,0.0009995002498750624,0.008995502248875561,True
attention_s43,cnn_s44,0.01634913682937622,0.007038465142250061,0.02584153860807419,0.9995,0.0005,True,0.015561223030090332,0.004762664437294006,0.02718971669673919,0.9955,0.0045,True,0.001999000499750125,,,0.009995002498750625,,
attention_s43,mlp_s42,0.029465794563293457,0.01942816823720932,0.03955424576997757,1.0,0.0,True,0.03132128715515137,0.018904849886894226,0.04394880533218383,1.0,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
attention_s43,mlp_s43,0.02683931589126587,0.016973792016506194,0.03682058602571487,1.0,0.0,True,0.027556777000427246,0.015705257654190063,0.03969916850328444,1.0,0.0,True,0.0009995002498750624,0.008995502248875561,True,0.0009995002498750624,0.008995502248875561,True
attention_s43,mlp_s44,0.045603930950164795,0.03427839577198029,0.05657736063003539,1.0,0.0,True,0.04752713441848755,0.03356455862522125,0.061704611778259276,1.0,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
attention_s44,cnn_s42,0.02514362335205078,0.01738353371620178,0.03358836621046066,1.0,0.0,True,0.02738189697265625,0.01799650341272354,0.03730837255716324,1.0,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
attention_s44,cnn_s43,0.028626441955566406,0.020698916912078858,0.0370534375309944,1.0,0.0,True,0.03079378604888916,0.021126048266887666,0.04062478244304656,1.0,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
attention_s44,cnn_s44,0.023225605487823486,0.015796609222888947,0.03132249116897583,1.0,0.0,True,0.025475740432739258,0.016466587781906128,0.035055018961429596,1.0,0.0,True,0.0009995002498750624,0.008995502248875561,True,0.0009995002498750624,0.008995502248875561,True
attention_s44,mlp_s42,0.03634226322174072,0.02801118344068527,0.04558287560939789,1.0,0.0,True,0.04123580455780029,0.03031596541404724,0.052634350955486284,1.0,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
attention_s44,mlp_s43,0.033715784549713135,0.025319880247116087,0.04279523938894272,1.0,0.0,True,0.03747129440307617,0.027203693985939026,0.04859217256307601,1.0,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
attention_s44,mlp_s44,0.05248039960861206,0.043093374371528624,0.062349775433540325,1.0,0.0,True,0.057441651821136475,0.04489946067333221,0.07037059068679809,1.0,0.0,True,0.0009995002498750624,0.008995502248875561,True,0.0009995002498750624,0.008995502248875561,True
cnn_s42,cnn_s43,0.003482818603515625,-0.0017956629395484923,0.008773018419742581,0.91,0.09,False,0.00341188907623291,-0.003035752475261688,0.00948482751846313,0.847,0.153,False,0.1809095452273863,,,0.30684657671164417,,
cnn_s42,cnn_s44,-0.001918017864227295,-0.007027103006839752,0.00314954668283462,0.221,0.779,False,-0.0019061565399169922,-0.008386856317520142,0.00455101579427719,0.268,0.732,False,0.4427786106946527,,,0.5367316341829086,,
cnn_s42,mlp_s42,0.011198639869689941,0.005113893747329712,0.017063802480697627,1.0,0.0,True,0.013853907585144043,0.004564261436462403,0.02193623036146164,0.9985,0.0015,True,0.0009995002498750624,0.008995502248875561,True,0.00399800099950025,0.008995502248875561,True
cnn_s42,mlp_s43,0.008572161197662354,0.002697885036468506,0.014685599505901334,0.998,0.002,True,0.010089397430419922,0.0016978666186332704,0.017694714665412902,0.9915,0.0085,True,0.004997501249375313,,,0.017991004497751123,,
cnn_s42,mlp_s44,0.02733677625656128,0.02077929526567459,0.0339047759771347,1.0,0.0,True,0.030059754848480225,0.02068331986665726,0.03905133455991743,1.0,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
cnn_s43,cnn_s44,-0.00540083646774292,-0.009918025135993958,-0.0010107263922691405,0.0075,0.9925,True,-0.005318045616149902,-0.011302763223648071,0.0007136598229408237,0.042,0.958,False,0.015992003998001,,,0.08495752123938032,,
cnn_s43,mlp_s42,0.007715821266174316,0.0021256491541862487,0.012789765000343322,0.998,0.002,True,0.010442018508911133,0.002232609689235687,0.01820660531520843,0.9945,0.0055,True,0.004997501249375313,,,0.01199400299850075,,
cnn_s43,mlp_s43,0.0050893425941467285,-0.0001928329467773437,0.010393303632736198,0.9695,0.0305,False,0.006677508354187012,-0.001397569477558136,0.014715319871902464,0.949,0.051,False,0.06196901549225387,0.06196901549225387,False,0.10294852573713144,0.10294852573713144,False
cnn_s43,mlp_s44,0.023853957653045654,0.01772256791591644,0.030235448479652403,1.0,0.0,True,0.026647865772247314,0.01660788953304291,0.036057330667972565,1.0,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
cnn_s44,mlp_s42,0.013116657733917236,0.0073329821228981015,0.018801549077033995,1.0,0.0,True,0.015760064125061035,0.00669296532869339,0.02397572994232177,0.9995,0.0005,True,0.0009995002498750624,,,0.001999000499750125,,
cnn_s44,mlp_s43,0.010490179061889648,0.004849795997142792,0.016061303019523618,1.0,0.0,True,0.011995553970336914,0.0033016771078109744,0.020069488883018464,0.997,0.003,True,0.0009995002498750624,,,0.0069965017491254375,,
cnn_s44,mlp_s44,0.029254794120788574,0.02244008183479309,0.036078193783760065,1.0,0.0,True,0.03196591138839722,0.02166398912668228,0.04210183620452881,1.0,0.0,True,0.0009995002498750624,0.008995502248875561,True,0.0009995002498750624,0.008995502248875561,True
mlp_s42,mlp_s43,-0.002626478672027588,-0.00643572211265564,0.00103241056203842,0.0865,0.9135,False,-0.003764510154724121,-0.009537976980209351,0.0018349856138229282,0.1025,0.8975,False,0.17391304347826086,,,0.20589705147426288,,
mlp_s42,mlp_s44,0.016138136386871338,0.011621834337711334,0.02051586955785751,1.0,0.0,True,0.01620584726333618,0.009243345260620118,0.02321640998125076,1.0,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
mlp_s43,mlp_s44,0.018764615058898926,0.014384040236473083,0.023047587275505054,1.0,0.0,True,0.019970357418060303,0.013913260400295257,0.02644647806882858,1.0,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
