arm_a,arm_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_prob_a_worse,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_prob_a_worse,average_precision_significant,roc_auc_p_value,roc_auc_p_holm,roc_auc_significant_holm,average_precision_p_value,average_precision_p_holm,average_precision_significant_holm
lora_linear,frozen_linear,0.07793378829956055,0.06358701586723328,0.09265455901622772,1.0,0.0,True,0.0759439468383789,0.05697403699159622,0.09514003843069076,1.0,0.0,True,0.0009995002498750624,0.0029985007496251873,True,0.0009995002498750624,0.0029985007496251873,True
lora_linear,frozen_attention,-0.02405691146850586,-0.03558094650506973,-0.012987947463989269,0.0,1.0,True,-0.03800874948501587,-0.05241508185863495,-0.024055647850036624,0.0,1.0,True,0.0009995002498750624,0.0029985007496251873,True,0.0009995002498750624,0.0029985007496251873,True
frozen_linear,frozen_attention,-0.1019906997680664,-0.1152303621172905,-0.08895436823368072,0.0,1.0,True,-0.11395269632339478,-0.13082871288061143,-0.09692693203687668,0.0,1.0,True,0.0009995002498750624,0.0029985007496251873,True,0.0009995002498750624,0.0029985007496251873,True
