head,full_causal_mean_abs_difference,full_causal_correlation,causal_step_roc_auc,full_step_roc_auc,causal_minus_full_roc_auc
linear,1.1566390156758644e-07,1.0,0.7662816643714905,0.7662816643714905,0.0
mlp,7.405087103506958e-07,1.0,0.8419360518455505,0.8419362306594849,-1.7881393432617188e-07
cnn,1.4617729187011719,0.8285099864006042,0.8051576614379883,0.8584514260292053,-0.05329376459121704
gru,1.204803705215454,0.9296168088912964,0.8463164567947388,0.865001380443573,-0.01868492364883423
attention,1.686150074005127,0.8522728085517883,0.8303256034851074,0.8755985498428345,-0.04527294635772705
attention_pe,1.752156138420105,0.8350167274475098,0.8240551352500916,0.8801959156990051,-0.056140780448913574
