head,full_causal_mean_abs_difference,full_causal_correlation,causal_step_roc_auc,full_step_roc_auc,causal_minus_full_roc_auc
linear,1.0954898499448973e-07,0.9999998807907104,0.7672211527824402,0.7672211527824402,0.0
mlp,5.19083414474153e-07,0.9999998211860657,0.8373913764953613,0.8373913764953613,0.0
cnn,1.836957573890686,0.6916985511779785,0.7865775227546692,0.8485900163650513,-0.06201249361038208
gru,1.0152997970581055,0.9219809174537659,0.8321190476417542,0.8527426719665527,-0.020623624324798584
attention,1.3992772102355957,0.8577411770820618,0.825130820274353,0.8692118525505066,-0.044081032276153564
attention_pe,0.9739850163459778,0.9426569938659668,0.8431285619735718,0.8651225566864014,-0.02199399471282959
