head,threshold,calibration_accuracy,n_trajectories,n_steps,accuracy,balanced_accuracy,roc_auc,average_precision,ranking_accuracy,first_error_boundary_drop,matched_correct_boundary_drop,position_controlled_boundary_effect,n_error_boundaries
linear,-4.136657238006592,0.7065209150314331,2223,12735,0.7027090787887573,0.7013993859291077,0.7672211527824402,0.7603392004966736,0.9132143441951859,0.5055007858459185,0.2530300254969529,0.2524707603489656,789
mlp,-3.147212028503418,0.757516622543335,2223,12735,0.7609736919403076,0.7612409591674805,0.8373913764953613,0.836320161819458,0.9253315867037826,0.6200730037062189,0.12611100553242965,0.4939619981737892,789
cnn,-4.703604698181152,0.7665755748748779,2223,12735,0.7712603211402893,0.7702813148498535,0.8485900163650513,0.850174069404602,0.9256590797445554,0.5378514492343662,0.0780719691014304,0.45977948013293585,789
gru,-3.2569751739501953,0.7700117230415344,2223,12735,0.7784059643745422,0.7789707779884338,0.8527426719665527,0.8552653789520264,0.9315539544784673,0.4080909131087731,0.0749914698707126,0.3330994432380605,789
attention,-4.1375555992126465,0.7985942959785461,2223,12735,0.7875932455062866,0.7862572073936462,0.8692118525505066,0.8742918968200684,0.9335189127231046,0.48467963987298035,0.03984341940656761,0.44483622046641275,789
attention_pe,-2.675718307495117,0.7881296277046204,2223,12735,0.7887710928916931,0.7891688346862793,0.8651225566864014,0.8624150156974792,0.9174717537252334,0.39625943287102217,-0.006667789484671709,0.4029272223556939,789
