head,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high
attention,0.805936336517334,0.7905190721154213,0.821783721446991,0.7745605707168579,0.7544933006167411,0.7944725662469864
attention_pe,0.7951765060424805,0.778814259171486,0.8118493407964706,0.7607229351997375,0.7412542968988418,0.7805971235036849
mlp,0.822910487651825,0.8088908895850182,0.8371162220835685,0.7886662483215332,0.7714878126978875,0.8075327605009079
cnn,0.8279131054878235,0.8134219199419022,0.842644676566124,0.7874364852905273,0.7681386306881904,0.8072708308696747
