head_a,head_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_significant
attention,attention_pe,0.010759830474853516,0.0017520055174827577,0.019389565289020538,0.9905,True,0.013837635517120361,0.0024388566613197326,0.025615026056766507,0.9905,True
attention,mlp,-0.016974151134490967,-0.027133196592330933,-0.006529475748538977,0.0,True,-0.014105677604675293,-0.027567821741104125,0.0003529593348502961,0.028,False
attention,cnn,-0.021976768970489502,-0.03152389079332352,-0.012128742039203647,0.0,True,-0.012875914573669434,-0.026478734612464905,0.0004590168595313967,0.0295,False
attention_pe,mlp,-0.027733981609344482,-0.03681015968322754,-0.01873141676187516,0.0,True,-0.027943313121795654,-0.0408572718501091,-0.015569238364696538,0.0,True
attention_pe,cnn,-0.03273659944534302,-0.0413727656006813,-0.0244798630475998,0.0,True,-0.026713550090789795,-0.03918948918581009,-0.014681030809879307,0.0,True
mlp,cnn,-0.005002617835998535,-0.010029035806655883,0.00020963996648788188,0.0285,False,0.0012297630310058594,-0.007390263676643372,0.010109208524227127,0.599,False
