head,threshold,calibration_accuracy,n_trajectories,n_steps,accuracy,balanced_accuracy,roc_auc,average_precision,ranking_accuracy,first_error_boundary_drop,matched_correct_boundary_drop,position_controlled_boundary_effect,n_error_boundaries
attention,-3.6513500213623047,0.7234840393066406,2223,13807,0.7299920320510864,0.7290221452713013,0.805936336517334,0.7745605707168579,0.9227033256503128,0.4917066413718482,0.17860988476255424,0.313096756609294,879
attention_pe,-3.1154985427856445,0.7268651127815247,2223,13807,0.7226044535636902,0.7218103408813477,0.7951765060424805,0.7607229351997375,0.9279716825814949,0.46809313202168756,0.17406289071188225,0.2940302413098053,879
