head,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high
attention,0.8687615394592285,0.8552782073616981,0.8819706037640571,0.8412021398544312,0.8228718057274819,0.8592906787991523
cnn,0.8594838976860046,0.8471991747617722,0.8717630535364151,0.8302595615386963,0.8140300929546356,0.845767293870449
mlp,0.8486695885658264,0.8361991912126541,0.8620335996150971,0.8174248933792114,0.8017552077770234,0.8338463515043258
