head,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high
linear,0.7781713604927063,0.7628911077976227,0.7940459966659545,0.7326571941375732,0.7115704193711281,0.7548694387078285
mlp,0.822910487651825,0.8088908895850182,0.8371162220835685,0.7886662483215332,0.7714878126978875,0.8075327605009079
cnn,0.8279131054878235,0.8134219199419022,0.842644676566124,0.7874364852905273,0.7681386306881904,0.8072708308696747
gru,0.8030291199684143,0.7872110351920127,0.8181800484657288,0.7592318654060364,0.739041505753994,0.7794625610113144
attention,0.805936336517334,0.7905190721154213,0.821783721446991,0.7745605707168579,0.7544933006167411,0.7944725662469864
