head,threshold,calibration_accuracy,n_trajectories,n_steps,accuracy,balanced_accuracy,roc_auc,average_precision,ranking_accuracy,first_error_boundary_drop,matched_correct_boundary_drop,position_controlled_boundary_effect,n_error_boundaries
linear,-3.648048162460327,0.7090775370597839,2223,13807,0.7068877816200256,0.7085009813308716,0.7781713604927063,0.7326571941375732,0.9247612775765558,0.7539918672450234,0.22443793127740647,0.5295539359676169,879
mlp,-3.7724852561950684,0.7441381812095642,2223,13807,0.7378141283988953,0.7348397970199585,0.822910487651825,0.7886662483215332,0.9705301284162002,0.8211202539156051,0.19110676122866188,0.6300134926869432,879
cnn,-4.262955665588379,0.7561190724372864,2223,13807,0.7461432814598083,0.7464796304702759,0.8279131054878235,0.7874364852905273,0.957935462627593,0.9487405355523878,0.12252524436443034,0.8262152911879574,879
gru,-3.529386043548584,0.7234840393066406,2223,13807,0.7202867865562439,0.7213090658187866,0.8030291199684143,0.7592318654060364,0.9781033915047744,0.6818630753913566,0.1944716855424133,0.4873913898489433,879
attention,-3.6513500213623047,0.7234840393066406,2223,13807,0.7299920320510864,0.7290221452713013,0.805936336517334,0.7745605707168579,0.9227033256503128,0.4917066413718482,0.17860988476255424,0.313096756609294,879
