head,offset,mean_standardized_q,std_standardized_q,n
linear,-2,0.7088633179664612,0.8690593838691711,524
linear,-1,0.6023766398429871,0.8755960464477539,879
linear,0,-0.1516152322292328,0.8644692301750183,879
linear,1,-0.03911064565181732,0.9635026454925537,675
linear,2,-0.16455769538879395,0.9366174936294556,542
mlp,-2,0.6525073051452637,0.5572624206542969,524
mlp,-1,0.5622924566268921,0.567753791809082,879
mlp,0,-0.258827805519104,0.9229305982589722,879
mlp,1,-0.33574727177619934,1.618381142616272,675
mlp,2,-0.29705023765563965,1.09783136844635,542
cnn,-2,0.5815218687057495,0.5642454624176025,524
cnn,-1,0.4855148196220398,0.5730487704277039,879
cnn,0,-0.46322572231292725,1.325597882270813,879
cnn,1,-0.14305345714092255,0.9933257699012756,675
cnn,2,-0.2283238172531128,1.0353127717971802,542
gru,-2,0.6276986598968506,0.750882625579834,524
gru,-1,0.5468547344207764,0.7625060081481934,879
gru,0,-0.13500835001468658,0.8735284805297852,879
gru,1,-0.07143530994653702,0.9616403579711914,675
gru,2,-0.2713344097137451,0.926194429397583,542
attention,-2,0.4952147305011749,0.7990869879722595,524
attention,-1,0.410602867603302,0.77762371301651,879
attention,0,-0.08110377192497253,0.8301786184310913,879
attention,1,-0.16673369705677032,0.7511905431747437,675
attention,2,-0.2735280990600586,0.7585623860359192,542
