position_bin,relative_position_start,relative_position_end,n_steps,correct_rate,error_rate
0,0.0,0.2,6606,0.6569785043899485,0.34302149561005146
1,0.2,0.4,4450,0.511685393258427,0.488314606741573
2,0.4,0.6,4668,0.44687232219365897,0.553127677806341
3,0.6,0.8,4450,0.38157303370786516,0.6184269662921349
4,0.8,1.0,7238,0.3543796628903012,0.6456203371096988
